Alloys,Class,Phase
Cr1Fe1Ni1V0.5W0.75,0,Non-SP-SS
Al1Co1.457Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Co1Cu1Fe1Ni1Ti1,0,Non-SP-SS
Al1Co1Cr1Fe1.89Mo0.5Ni1,0,Non-SP-SS
Al12Cr17Fe35Mn20Ni12Ti4,0,Non-SP-SS
Al0.5Co1Cr1Fe1Mn1Ni1Zr0.3,0,Non-SP-SS
Al1.2Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al0.5Cr1Fe1Ni1V1,0,Non-SP-SS
Al1Co2Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr1Ni1,0,Non-SP-SS
Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.3Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mo0.6Ni1,0,Non-SP-SS
Al1Co1Cr2Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1,0,Non-SP-SS
Al1Co1Cr1Fe1.59Mo0.5Ni1,0,Non-SP-SS
Al1Co1.3Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1.87Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1.287Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1.79Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1.5Mo0.5Ni1,0,Non-SP-SS
Al0.6Co1Fe1Ni1Ti0.4,0,Non-SP-SS
Al1.25Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.5Cr1Cu1Fe1Ni2,0,Non-SP-SS
Al1Co1Cr1.67Fe1Mo0.5Ni1,0,Non-SP-SS
Co1.5Cr1Fe1Ni1.5Ti0.5Mo1.5,0,Non-SP-SS
Al1Co0.2Cu1Fe1Ni1,0,Non-SP-SS
Al1.5Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.8,0,Non-SP-SS
Al1Co1Cr1Fe1.35Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo1Ni1.95,0,Non-SP-SS
Al1Co1Cr1.5Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.4Ni1,0,Non-SP-SS
Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni1,0,Non-SP-SS
Al23Co15Cr23Cu8Fe15Ni16,0,Non-SP-SS
Al0.125Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni0.8,0,Non-SP-SS
Al1Co1Cr1.35Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cu8.33Ni1Ti1Zn1,0,Non-SP-SS
Al0.75Co1Cr1Cu0.25Fe1Ni1Ti0.5,0,Non-SP-SS
Al1.32Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1.125Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mo0.8Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.25Ni1,0,Non-SP-SS
Al1Co1Cr1.1Fe1Mo0.5Ni1,0,Non-SP-SS
Al60Co40Cr40Fe40Mn40Ni40,0,Non-SP-SS
Al0.9Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1,0,Non-SP-SS
Al1Co0.987Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Co1Cr1Fe1Nb1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo1Ni1.72,0,Non-SP-SS
Al1Co1Cr1Fe1Mo0.52Ni1,0,Non-SP-SS
Al1.5Co1Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Al1Co1Cr0.89Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co0.95Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co2Cr1Fe1Mo0.5,0,Non-SP-SS
Al0.5Co1Cr1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr1Fe0.867Mo0.5Ni1,0,Non-SP-SS
Co1Cr1Fe1Ni1Ta1,0,Non-SP-SS
Al1Co1.5Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr1Fe1Mo1Ni1.62,0,Non-SP-SS
Al1Cr1Cu1Fe1Ni0.6,0,Non-SP-SS
Cr1Fe1Ni1V0.5W1,0,Non-SP-SS
Co1.5Cr1Fe1Ni1.5Ti0.5Mo1.8,0,Non-SP-SS
Al0.8Co1Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr0.58Fe1Mo0.5Ni1,0,Non-SP-SS
Al1.7Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Mo1Ni1.53,0,Non-SP-SS
Al1Co1Cr1Cu1Fe1Mo1Ni1,0,Non-SP-SS
Al0.8Co1Cr1Ni1Si0.2,0,Non-SP-SS
Al1Co1Cr0.5Fe1Mo0.5Ni1,0,Non-SP-SS
Al1.45Co1Cr1Fe1Ni1,0,Non-SP-SS
Co1Fe1Ni1Ti1,0,Non-SP-SS
Al1Co1Cr1Fe0.6Mo0.5Ni1,0,Non-SP-SS
Al1Co1Cr0.37Fe1Mo0.5Ni1,0,Non-SP-SS
Al1Co0.73Cr1Fe1Mo0.5Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti1,0,Non-SP-SS
Al1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1Ni1Ti0.5,0,Non-SP-SS
Al1.8Cr1Cu1Fe1Ni2,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.36Ni1,0,Non-SP-SS
Fe6Ni1Co1Si1Cr1Al1,0,Non-SP-SS
Al1.8Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
